Gene	1-NX-7-D3	2-JYP-5-D3	2-JYP-7-D3	2-JYP-8-D3	3-zhang-1-D3	4-zhou-2-D3	1-NX-2-D3	3-zhang-7-D3	4-zhou-1-D3	5-li-4-D3	6-zhang-2-D3	7-di-3-D3	8-liu-10-D3	4-zhou-8-D3	5-li-6-D3	5-li-13-D3	6-zhang-6-D3	8-liu-15-D3	9-shi-2-D3	11-yao-2-D3	12-wen-13-D3	13-jin-3-D3	13-jin-7-D3	2-JYP-9-D3	4-zhou-9-D3	6-z-12-D3	7-di-7-D3	8-liu-9-D3	1-NX-4-D3	3-zhang-6-D3	12-wen-6-D3	5-li-1-D3	17-chen-3-D3	14-zhang-5-D3	15-zhou-11-D3	18-xu-11-D3	19-lu-10-D3	20-li-5-D3	20-li-11-D3	21-lu-11-D3	22-wang-4-D3	22-wang-8-D3	24-liu-7-D3	9-shi-10-D3	11-yao-1-D3	13-jin-8-D3	14-zhang-2-D3	15-zhou-3-D3	18-xu-10-D3	22-wang-9-D3	26-qi-8-D3	28-sun-4-D3	29-li-5-D3	16-zheng-7-D3	19-lu-6-D3	21-lu-10-D3	23-cai-8-D3	24-liu-5-D3	25-qin-2-D3	26-qi-6-D3	26-qi-7-D3	28-sun-3-D3	29-li-8-D3	30-xiang-6-D3	30-xiang-7-D3	30-xiang-8-D3	32-wang-7-D3	35-xie-7-D3	35-xie-4-D3	36-qi-1-D3	38-dong-14-D3	41-zhou-8-D3	43-feng-10-D3	35-xie-9-D3	36-qi-7-D3	36-qi-8-D3	36-qi-18-D3	37-liao-2-D3	38-dong-10-D3	38-dong-13-D3	40-lin-12-D3	40-lin-15-D3	41-zhou-1-D3	27-lin-7-D3	30-xiang-11-D3	31-wu-6-D3	32-wang-1-D3	37-liao-5-D3	46-li-3-D3	49-xu-2-D3	58-chen-6-D3	20-li-8-D3	44-huang-4-D3	42-xu-7-D3	42-xu-17-D3	43-feng-13-D3	46-li-5-D3	48-shen-5-D3	48-shen-8-D3	48-shen-9-D3	49-xu-9-D3	51-gao-3-D3	51-gao-6-D3	39-wu-8-D3	40-lin-9-D3	42-xu-16-D3	45-cheng-1-D3	47-nian-7-D3	50-lai-9-D3	51-gao-5-D3	53-lang-6-D3	54-li-3-D3	55-xu-8-D3	52-wu-6-D3	52-wu-11-D3	53-lang-16-D3	58-chen-7-D3	57-zhao-2-D3	59-meng-3-D3
NBEA	0	0	0.03	0	2.92	0	0	0	0	0.52	89.96	0	0	0	0	0	0	0	0	0	0	0	2.11	0	2.31	5.93	4.12	1.38	12.06	0	8.35	4.03	0	5.87	6.12	0	0	0	9.7	0	1.65	3.61	0	0	10.5	0	3.37	0	41.96	0	0	0	0	0	0	0	0	11.44	5.89	0	73.68	3.92	4.72	0	0	0	0	0	0	0	25.78	0	0	0	0	0	4.43	2.76	0	0	0	0	0	0.15	0	26.01	0	0.63	0	0	0	0	0	0	0	0	0	0	4.46	0	0	0	0.83	3.27	7.25	0	1.58	0	4.1	0	3.36	8.88	0	0	0	0	0	0	2.73
NBN	0	0	23.48	0	7.27	0	0	0	27.5	9.76	0	11.5	0	0	9.55	0	17.13	0	0	0	0	0	0	75.54	0	17.18	0	0	0	0	33.38	0	0	11.44	0	37.95	57.3	70.46	23.11	83.41	130.34	96.61	0	0	50.96	14.56	23.43	51.08	70.29	235.7	8.28	0	15.84	10.56	6.95	141.17	9.35	11.23	18.51	16.53	31.67	16.68	142.49	0	0	0	0	0	0	0	36.08	0	0	0	0	616.34	0	85.97	0	0	0	3.77	0	38.34	292.65	65.55	11.6	0	0	0	72.28	5.54	4.79	20.06	20.76	0	19.78	0	24.87	17.7	42.15	41.78	17.06	33.59	24.73	29.92	18.75	0	0	18.28	7.01	3.98	115.98	1.32	0	33.52	21.45	29.87	60.86
NCAPG	1162.15	1025.09	836.3	1861.17	944.18	384.89	1742.5	605.24	1699.99	885.08	881.79	1021.87	1176.01	0	0	0	82.33	106.35	90.1	0	0	510.06	131.58	0	32.5	109.22	5513.17	4626.66	6573.08	3296.2	2859.11	3491.57	3825.93	117.12	751.45	244.38	358.47	514.78	134.92	503.36	802.41	652.08	126.28	32.32	936.75	648.64	858.35	995.16	546.19	1591.58	943.48	342.98	582.96	454.32	234.02	563.26	237.27	54.12	148.65	415.04	117.47	167.29	615.06	162.23	92.09	98.97	0	21.22	0	0	0	41.03	0	399.29	148.11	280.29	0	0	23.43	241.31	853.76	487.39	461.09	226.04	382.99	320.8	414.84	523.68	1046.62	510.18	84.63	336.03	82.68	1261.44	603.46	395.63	405.67	0	825.54	544.6	66.9	336.39	229.76	715.76	38.23	538.12	222.27	1029.6	938.76	549.97	2032.75	228.63	1444.16	292.51	254.45	1174.17	100.54	84.2	438.21
NCF1	0	30.9	19.54	0	0	6.29	0	0	0	0	0	0	0	0	8.56	0	0	0	0	0	0	0	0	0	0	9.41	0	0	0	167.54	0	27.36	0	0	4.4	0	603.83	0	0	0	0	7.93	0	1.3	0	5.14	72.13	0	0	0	5.51	4.14	4.26	3.06	4.11	0	0	100.1	0	0	0	7.5	4.39	0	0	0	0	0	292.08	0	0	0	222.85	0	0	50.95	0	0	52.53	0	0	0	0	0	0	56.21	0	1.42	0	0	205.36	39.74	12.94	0	10.02	0	25.26	0	0	0	102.85	0	0	18.54	13.65	0	10.64	0	0	0	57.63	0	0	0	0	57.4	9.91	106.78	30.8
NCOR1	146.79	92.84	191.26	0	7.93	0	2.67	0	0	3.58	17.25	0	1.5	0	0	10.01	0	0	0	0	0	0	0	41.45	0	0	0	0	0	0	37.73	2.29	17.87	27.76	104.66	809.81	591.69	4.83	55.7	87.99	56.64	60.32	27.85	0	10.48	52.89	33.85	9.53	29.45	0	0	17.48	1.69	0	0	2.43	34.6	9.22	5.54	5.6	130.25	59.87	0	335.29	0	0	29.6	0	0	0	0	0	22.2	0	321.34	0	63.85	0	89.43	0	0	83.57	3.98	0	0	63.27	1.55	0	0	3.96	5.95	27.83	0	3.22	0	0	3.23	0	21.61	16.97	0	0	15.06	0	8.81	11.92	0	46.28	18.66	5.89	4.81	109.66	2.93	17.59	1.87	0	0	23.24	10.42
NDRG1	5.06	23.75	0	54.1	0	0	0	0	0	0	0	19.52	0	0	0	0	0	0	0	578.22	0	0	0	239.36	0	37.77	6.31	0	0	16.91	6.7	0	0	216.88	18.56	67.53	27.81	111.57	0	79.76	208.57	14.85	20.92	0	150.64	0	0	25.74	282.27	28.67	91.84	310.33	0	153.75	67.65	0	202.63	2147.35	105.41	120.91	71.74	19.87	190.31	0	0	0	0	0	0	0	0	55.15	1792.49	0	0	0	26.15	0	0	92.25	201.94	4.2	101	34.75	0	0	0	0	14.86	14.12	317.05	21.34	105.22	87.57	379.38	52.54	38.49	4.84	34.74	50.82	57.96	260.88	15.37	121.69	4.5	0	95.81	0	67.28	131.88	149.41	470.18	35.4	0	942.04	49.86	88.61	594.61	460.79
NDRG2	64.32	0	0	5.74	3.02	60.82	14.06	6.99	0	0	21.03	5.27	6.37	0	0	0	0	0	0	99.42	31.12	0	3.95	66.08	0	0	0	0	0	0	0	0	0	33.06	25.09	19.14	0	69.77	2.96	33.12	0.16	33.12	508	734.85	53.63	53.68	72.36	0	128.94	54.65	46.61	0	0	5.05	13.7	7.04	0	851.3	23.7	26.25	6.2	113.47	16.04	0	0	0	0	0	0	0	0	0	0	100.06	0	288.22	0	0	0	0	0	13.81	0	122.31	0	58.82	24.85	21.03	75.91	27.9	7.56	128.91	706.49	0	3.62	10.92	18.84	0	20.44	22.7	0	0	169.86	0	12.93	0.7	292.12	88.48	141.97	78.31	130.95	268.65	113.02	0	0	22.43	8.81	17.44	21.42
NDUFA10	0	0	0	0	0	0	0	16.17	0	187.53	0	0	10.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.05	0	0	0	0	176.17	0	0	0	0	0	0	0	0	0	0	7.2	0	0	0	0	0	0	0	0	0	0	15.33	56.01	4.22	1181.76	0	0	0	0	0	0	0	0	19.3	0	0	0	2.92	0	0	0	0	325.95	40.23	23.55	0	0	0	0	0	0	0	72.56	0	0	0	0	0	0	0	0	0	97.61	532.93	0	0	10.28	0	0	0	0	0	18.29	0	10.99	0	6.08	0	0	4.29
NDUFA4	0	0	0	0	35.83	0	0	0	0	0	0	0	0	0	0	0	0	3.86	0	0	0	0	0	0	0	0	5.11	0	0	17.02	0	0	0	14.61	2.92	0	0	0	2.94	0	4.29	0	0	30.93	0	0	21.72	0	16.64	6.99	0	0	26.56	35	25.87	55.64	0	0	0	0	3.39	7.96	0	0	0	0	0	0	0	0	0	0	2.23	0	0	0	11.47	22.2	0	0	0	5.85	0	0	0	0	41.35	0	0	0	0	14.52	0	0	0	0	0	0	0	0	0	0	0	0	0	22.15	146.33	0	0	20.95	15.84	1.97	5.06	15.86	0	0	0	31	3.9
NET1	0	0.79	0	0	0	0	0	3.36	0	57.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.6	11.76	21.18	0	0	0	26.33	0	0	0	0	0	0	0	0	2.42	0	18.52	14.71	153.19	0	12.17	0	0	0	0	0	37.88	0	0	268.77	0	0	0.88	0	0	0	0	0	0	0	0	0	109.1	0	0	0	0	58.45	112.56	0	0	0	0	0	0	227.44	20.88	0	0	0	0.94	95.56	0	2.53	0	0	15.52	0	0	0	0	0	0	0	0	0	0	0	11.65	0	80.93	0	1.73	207.8	0	0	0	0	19.65	3.76	0
NFE2L1	0	0	0	0	9.73	0.28	14.12	0	0	3.61	0	38.73	160.76	0	411.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.5	6.8	0	3.21	3.89	1.1	0	0	0	0.73	0	107.44	0	0	1.4	0	0	27.92	28.3	81.14	19.73	1.53	19.73	0	2.03	0	1.8	290.1	24.68	0	42.1	130.48	0	3.25	0	117.08	0	0	0	0	0	70.61	0	0	125.95	830.52	0	1.02	0	0	39.98	0	140.54	0	0	0	472.97	5.57	0	1.1	184.19	4.36	0	53.77	0	0	0	0	0	25.63	3.72	0	0	0	0	0	32.94	0	43.5	34.06	0	15.44	108.98	27.85	0	0	0	0	124.66	7.46
NIBAN2	0	3.13	29.51	0	3.57	17.32	8.68	0	60.57	0.71	34.98	5.35	13.28	0	0	0	0	0	0	31.32	0	0	0	4.07	0	24.61	0.04	0	0	21.04	0	3.23	0	6.98	25.56	0	7.19	0	107.61	57.6	18.49	55	5.2	28.85	0	0	0	43.9	61	17.42	9.27	5.45	34.58	43.86	49.28	3.45	9.03	718.02	38.58	15.3	1.42	20.94	14.31	0	67.89	0	0	10.66	0	112.78	84.3	0	200.51	0	53.11	152.07	52.31	0	0	0	108.37	15.26	9.28	0	111.21	0	7.14	1.65	0	6.09	46.65	49.58	41.43	3.03	22	5.84	0	0	12.84	10.44	6.42	17.16	0	75.09	8.06	18.5	47.31	6.88	19.64	60.51	70.08	53.47	31.15	2.2	2.39	24.53	35.61	129.27	9.74
NKD2	10.86	0	0	0	0	0	0	0	0	0	0	0	10.8	0	0	0	0	0	0	17.42	0	0	0	0	0	0	0	0	0	0	18.66	0	0	0	0	0	0	0	0	1.07	0	0	32.4	3.16	0	0	7.14	0	7.58	0	0	0	0	3.77	3.41	0.46	0	0	0	13.71	0	0	0	0	0	0	0	0	16.94	168.14	38.2	0	10.31	0	44.9	0	0	0	0	0	0	0	0	0	0	0	0	54.5	15.61	0	3.67	2.15	25	0	0	0	0	0	0	10.87	0	0	12.65	0	20.26	0	2.7	13.42	116	71.23	38.5	15.37	13.33	0	9.19	2.69	0	0	22.25
NLRP1	0	8.78	0	0	17.41	0	8.13	18.89	11.23	17.33	337.51	0	17.29	9.81	0	0	2.55	0	0	5.3	0	0	0	0	0	0	0.95	0	0	84.48	1.32	33.21	0	0.04	3.26	1.11	0	0	0	0	9.13	8.38	0.63	0	22.29	6.29	3.84	15.69	14.98	1.7	33.75	7.06	0	1.61	6.51	0	11.29	0	0	0	2.7	0	4.41	8.42	10.9	12.74	23.03	7.8	0	0	0	7.98	0	68.73	0	0	1.63	0	0	0	0	1.18	9.8	0	0	0	0	2.3	0	0	152.37	0	1.6	6.31	1.69	10.01	2.21	0	3.4	40.63	0	8.66	0	1.42	7.24	0	19.85	1.21	2.08	35.14	11.94	0	1.93	0.84	0	2.63	0	21.18	17.44
NOL4L	0	0	0	0	0	0	1.31	0	0.43	0.85	16.24	0	0	0	0	0	0	0	0	11.84	0	0	0	0	0	0	0	0	0	0	0	0	0	11.29	0	0	0	45.88	33.51	0.74	2.22	0	0	0	0	0	0	1.21	0	1.67	0.02	0	3.77	1.42	1.85	4.46	1.26	37.38	0	0.17	10.26	3.77	1.32	0	0	0	0	0	0	0	0	0	0	0	7.35	0	0	0	0	0	0	61.92	8.87	0	4.89	0	10.22	0.27	0	0	0	0	0	1.44	0	0	5.66	0	1.61	2.4	0	17.26	0	0	0	0	36.05	1.59	3.76	0	2.97	2.55	26.3	0.33	14.05	0	12.77	0.13	1.96
NOS1AP	11.44	0	1.48	3.99	0	0.33	2.11	0	0	2.68	0	0	0	3.65	8.1	4.3	12.16	1.21	0	0	0	0	0	0	0.45	3.27	0	0	0	0	1.34	0	0	3.35	1.08	1.11	8.64	1.23	1.48	0	0.95	2.92	0	0	3.18	0	5.09	4.69	2.76	6.49	0	1.49	0	2.48	1.17	0	0	0	0	0	1.78	1.18	0	19.74	0	0	0.05	0.77	7.28	0	0	0	0	0	0	0	0	0	12.82	0	219.02	0	0	0	0	7.02	0	4.34	5.99	0.7	2.44	0.99	0	0	0	2.99	47.67	0.89	3.83	13.08	7.09	4.74	1.71	2.35	3.35	0	0	0	6.99	0	2.43	0.54	2.64	109.82	21.17	0	0	19.76	2.91
NOTCH1	0	1.34	8.65	4.15	0	0	0	0	0	0	0	0	0	0	0	0	0	11.57	0	0	0	0	0	0	0	3.76	0.66	0	0	0	0	1.84	0	0	0	0	0	0	4.93	0	1.54	0	0	0	0	0	0	0.94	0	0	0	8.96	0.86	0.29	0	0	11.96	6.04	0	0	0	0	0.83	0	0	0	0	0	4.65	0	0	75.43	19.04	0	0	20.1	0	0	0	0	0	5.57	0	0	0	0	0.73	0	0	3	14.14	0	1.18	0	0	0	0	0	0	0.88	0	0	0	2.87	0	1.28	8.25	0.41	11.78	0	9.6	0	0	2.92	0	6.59	1.52	4.19	33.83
NOVA1-DT	0	35.25	165.1	18.45	15.23	0	10.7	77.57	54.1	6.46	0	0	0	0	0	0	4.94	0	0	0	0	0	0	0	0	0	2267.05	2451.06	2023.63	1661.29	0	1462.14	1984.91	0	18.47	75.82	58.47	0	0	85.29	223.4	206.3	0	0	158.4	0	226.66	115.78	0	381.56	346.96	34.21	0	0	0	9.85	6.73	0	0	114.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.81	22.31	0	0	17.9	27.82	131.14	0	29.32	0	0	437.13	145.09	0	0	0	0	55.05	5.58	71.28	106.49	220	130.04	19.6	0	399.74	0	16.1	0	0	0	0
NPEPL1	0	0	0	0	0	0	0	0	15.84	0	0	0	15.31	0	0	0	0	0	0	0	0	0	509.84	13.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87	0	0	1.85	1.87	0	0	0	42.21	0	29.66	12.65	0	1.77	0	0	3.76	6.05	0	0	0.68	8.03	0	6.73	0	0	0	35.17	0	0	0	0	0	0	179.43	0	0	0	1.76	0	0	37.87	0	0	0	0	0	0	35.23	0	0	5.96	0	0	0	11.96	0	6.41	0	0	0	5.6	0	4	0	2.93	0	0	15.93	0	3.37	0	0	0	3.38	0	0	5.14	0	10.11	10.05
NPIPB13	55.96	8.7	0	0	0	0	0	0	0	0	0	0	0	0	39.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.94	134.82	0	0	0	37.48	0	53.61	0	0	16.36	0	0	0	0	8.45	0	0	0	0.97	0	0	0	36.6	9.71	31.01	109.74	86.41	89.79	32.84	0	0	0	0	0	0	0	0	0	262.41	0	0	198.41	4.25	195.16	0	3.98	9.14	83.41	106.98	0	25.34	0	0	0	45.86	12.97	42.53	46.89	0	46.71	8.53	0	0	0	0	0	0	0	113.35	3.44	3.71	0	3.67	0	0	10.62	9.37	76.89	0	15.44	78.29	6.22	12.73	5.91	4.03
NPR3	0	0	0	0	0	0	0	0	0	0	0	5.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167.81	0	0	0	0	0	36.73	17.93	2.66	0	0	57.11	0	15.86	0	0	0	0	0	9.77	0	0	0	0.13	0	0	0	1.01	0	0	0.45	10.27	0.37	49.92	1.67	0	0	0	0	0	0	0	0	0	0	0	0	0	63.05	0.59	0	0	0	2.56	0	0	0	0	0	0	0	2.76	5.51	0	0	0	0	28.31	0	0	0	0	0	0	6.48	0	0	0	0	0	18.13	0	0	0	0	0	0	15.58	1078.02	361.68	1.94	0
NRG1	20.84	0	0	0	0	15.04	0	0	59.82	49.04	0	0	1.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71	0	7.57	0	0	150.26	0	14.32	0	0	0	0	0	0	0	6.59	71.66	0	0	0	8.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184.09	0	0	0	0	0	0	0	5.33	0	0	0	0	0	0	9.06	0	1.05	0	1.23	3.57	0	0	0	0	23.65	11.68	0	0	17.16	0	0	0	0	0	0	0	0	19.13	17.33
NRSN2-AS1	0	0	9.46	0	0	0	2.66	0	0	0.76	92.85	0	31.48	0	0	0	0	0	0	0	0	3.43	23.06	0	0	0	0	0	0	0	0	0	0	22.09	2.69	0	0	4.59	26.21	2.27	0	4.89	6.5	434.07	26.3	8.15	3.99	0	14.32	0	0	17.02	4.08	2.05	20.35	2.47	3.47	14.67	0	0	14.92	7.33	9.65	0	0	0	0	0	0	0	0	0	12.11	0	25.45	0	11.27	0	0	0	25.67	17.9	10.85	0	12.53	0	0	11.9	173.2	4.56	75.5	82.85	7.97	0	84.1	5.26	0	0	0	0	0	5.97	0	0	17.81	0	37.91	0	0	105.68	13.73	2.17	0	7.16	22.45	0	2.71	0	19.25
NUDT3	1.04	1.05	6.15	12.93	12.26	11.16	7.53	0	6.93	3.64	16.01	2.93	13.87	12.7	2.42	4.52	5.27	2.72	0	14.44	0	2.68	0	26.81	13.47	2.58	1.33	1.52	4.87	9.4	3.12	3.13	3.2	6.7	0	0	0	9.47	0.81	2.13	0.89	0	0	0.13	0.11	5.3	24.67	1.77	9.6	4.41	6.38	4.73	3.99	3.07	0	0	0	0.69	1.66	2.85	0.5	0	5.68	0	0	0	0	2.2	0	0	6.29	0	0	0	0	0	1.58	0	0	0	0	0	5.15	2.22	66.46	0	18.76	2.79	7.49	20.21	4.59	2	10.84	0	4.96	0	6.05	0	1.66	23.75	0	9.16	3.34	6.22	0.09	2.45	0	8.68	0.07	4.08	1.16	16.27	0	0	1.27	2.25	3.29	21.14	66.6
NUP160	0	3.08	0	0	0	0	6.34	0	0	0	0	16.88	0	0	0	0	0	4.09	0	13.09	0	0	5.97	0	0	0	0	0	0	0	0	0	0	26.21	6.72	0	0	0	95.11	35.81	1.29	0	4.64	0	0	19.77	6.05	2.38	0	0	6.24	0	9.37	4.45	8.07	0	0	4.49	14.81	6.22	7.93	0.03	15.58	149.77	0	0	0	0	0	0	0	0	0	29.65	5.36	0	0	0	0	0	0	0	0	0	20.2	0	2.46	12.01	0.24	0	3.79	3.89	0	20.09	5.77	0	59.02	0	0	1.59	75.78	8.82	0	13.79	3.8	0	13.68	5.91	0	1.48	0	16.8	0	0	0	0	0	0	0
NUTM2B-AS1	10.26	0	0	0	0	0	0	0	0	0	11.99	0	3.14	0	0	0	1102.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.63	2.69	0	0	210.09	0	0	0	0	0	4.5	0	0	29.88	0	0	9.5	4.06	0	0	0	0	0	15.28	38.88	16.66	0	0	0	0	0	0	345.87	0	0	0	0	0	0	0	0	0	589.89	37.85	0	0	0	0	0	0	0	0	0	0	0	0	4.93	0	0	160.03	0	0	0	0	4901.13	0	0	0	0	0	0	0	0	1.58	0	1.24	0	5.6	0	0	7.77	0	10.34	0	0	834.07
OAS3	0	0	0	0	0	0	0	0	0	0	0	1.7	0	0	0	9.77	0	0	0	0	0	0	0	90.19	0	0	0	0	0	0	0	0	0	2.36	0	0	0	0	0	0	0	0	0	7.41	0	0	10.34	0	0	0	2.83	0	6.44	1.28	0	10.33	24.12	15.11	0	0	2.31	0	57.26	0	0	0	0	0	0	0	0	0	36.46	8.37	0	0	6.43	0	0	0	0	0	0	0	0	0	24.33	0	6.78	22.4	1.72	0	0	0	0	0	16.39	0	0	0	0	3.76	0	3.79	0	16.9	24.93	0	0	52.81	0	1.55	0	0	0	0	0	10.67	0
OAT	0	0	0	0	0	4.5	0	0	0	0	0	57.16	6.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.12	0	0	0	0	0	0	0	0	0	0	0	0	0	47.81	0	33.46	0	10.25	0	0	2.12	89.92	14.69	3.96	0	1.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79.57	0	0	0	0	0	0	0	0	0	4.76	0	5.6	0	0	0	0	0	0	0	0	0	0	0	0	44.8	0	0	0	0	95.97	4.29	0	6.51	4.49	24.17
OPHN1	0	0	0	1.53	0	0	0	0	0	0	10.45	0	0	28.24	83.27	2.18	38.81	0	0	0	6.36	0	0	0	0	0	0	0	0	0	0.95	0	0	30.24	1.05	86.43	0	0	17.64	40.4	57.28	0	14.07	0	0	12.99	0	0	14.15	0	0	0	0	2.3	0.56	0	0	12.97	19.69	0	10.52	2.54	2.73	271.56	0	0	0	112.89	4.34	0	0	0	1.59	0	9.91	13.24	53.49	0	1.35	0	0	1.74	0	0	0	59.18	0	0	0	4.55	0	0	1.49	0	6.7	0	0	0	0	8.22	0	0	15.33	0	47.25	0	23.52	0	2.36	9.54	29.22	3.09	0	0	33.4	15.23	1.52	9.2	1.18
OPN1MW3	194.21	0	150.44	236.99	141.4	68.72	0	44.36	211.44	100.68	148.7	141.92	186.82	6.73	0	9.99	18.74	0	0	19.91	77.65	424.34	40.04	0	0	0	581.4	706.73	857.04	342.94	285.61	1201.71	894.27	4.47	214.3	64.72	191.9	118.24	3.93	280.18	431.13	353.47	54.95	11.54	267.59	286.96	100.84	180.1	34.31	457.22	304.07	0	92.84	75.47	57.16	112.3	27.94	5.05	88.4	157.19	34.1	52.83	178.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288.57	5.28	0	29.4	0	0	89.33	104.27	90	57.33	4.4	56.32	18.28	368.61	144.73	215.37	49.05	0	198.1	132.93	0	86.04	117.31	101.58	49.28	190.32	144.68	294.52	310.87	106.01	232.38	21.31	244.28	8.57	37.04	22.09	0	33.02	1.34
OR10K2	3.94	0	31.14	6.91	6.21	26.95	7.24	22.36	0	15.98	5.94	9.22	0	22.06	13.05	18.15	8.45	50.29	0	0	0	33.49	11.14	31.48	30.26	30.56	12.76	10.55	10.47	14.05	15.45	11.11	7.21	6.03	4.69	8.99	0	0	0	0	0.86	8.09	0	0	0	0	14.4	0	14.7	0	15.69	9.21	10.11	17.52	9.1	16.3	4.72	0.08	0	0	0	0	0	0	0	61.07	0	0	0	0	0	21.35	0	0	0	0	0	0	0	0	0	0	0	5.52	23.24	0	0	0	17.11	7.74	15.32	13.85	34.59	0	3.76	0	0	0	0	1.54	0	0	16.04	8.59	8.77	12.71	0	0	0	0	0	0	0	0	0	0	0	0	3.75
OR14L1P	0	1.31	0	2.6	0	0	0	16.35	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08	0	0	0	0	93.1	23.37	132.62	22.21	44.85	15.39	35.04	0.37	4.47	2.78	0	0	0	1.86	0	3.25	0	0	0	3.12	6.15	7.44	0	38.03	8.04	6.08	8.82	6.2	4.85	15.87	0	0	0	5.43	0	0.68	7.31	0	0	13.15	0	0	0	0	0	0	0	35.97	0	0	0	0	0	0	0	4.87	0	6.8	13.93	14.27	12.08	3.86	33.19	16.54	0.76	5.49	0	13.83	7.23	17.25	2.8	0	7.08	11.09	0	5.18	0	0	0	12.92	1.11	7.62	16.12	0	0.04	0	16.39	0	0	0	5.24	1.9	0
OR4F15	55.42	16.05	7.16	0	32.27	1.96	15.73	34.58	41.36	15.14	24.78	0	0	0	1.84	0	0	0	4.63	0	0	0	0	10.08	0	0	106.46	150.14	0	3.2	0	74.65	58.25	3.21	22.79	5.75	9.16	39.7	0	34.34	22.74	50.5	0	0.55	13.79	14.07	26.62	30.35	19.97	39.39	15.48	0	0	12.31	10.17	16.83	0	7.33	5.13	29.73	0.43	13.69	15.77	0	0	0	0	0	0	70.69	8.64	0	0	0	0	2.03	0	0	0	0	0.46	8.75	0	7.35	0	17.09	15.55	34.84	53.58	43.67	6.31	15.53	0	20.09	25.4	7.9	0	0	24.84	17.33	0	9.86	0	22.78	0	12.28	15.31	2.97	12.93	0	47.22	3.31	28.45	0	0.18	0	0	8.83	12.87
OR51A2	185.63	246.01	84.91	81.75	48.21	0	57.31	106.69	753.75	54.95	101.62	152.12	63.63	0	0	0	70.11	57.74	0	0	32.64	88.41	4.23	67	46.4	0	2943.19	2315.96	2318.55	2504.8	1680.5	2654.82	1969.79	20.81	223.52	42.59	122.47	285.84	7.08	118.51	297.47	854.33	0	47.78	151.76	351.33	173.27	128.1	41.48	641.55	506.53	71.24	198.11	266.61	163.39	309.04	95.23	46.15	153.32	419.77	80.23	204.99	276.19	98.7	0	0	39.72	65.8	0	0	6.99	44.29	0	0	332.03	0	0	88.71	0	0	176.24	129.48	294.05	171.52	62.36	321.07	242.19	562.76	199.76	530.41	91.99	194.84	120.97	1114.33	574.48	508.77	31.27	0	1568.97	554.95	14.02	225.35	41.12	214.91	178.73	508.28	404.75	665.82	785.31	755.98	807.34	163.12	840.37	21.04	267.57	62.46	0	61.12	463.77
ORAI2	31.33	5.57	0	14.92	8.39	15.24	9.51	13.43	17.15	5.33	18.79	20.38	16.48	7.71	0	10.81	6.08	3.41	4.53	3.87	6.42	10.57	1.56	0	1.39	5.88	42.72	45.2	122.08	30.64	33.82	41.81	54.6	23.11	23.21	4.23	10.59	20.46	17.63	5.04	3.36	1.05	9.64	6.95	0	2.33	12.6	1.23	22.28	22.51	6.2	4.07	3.74	3.4	6.37	15.37	22.09	12.04	5.88	6.96	9.83	46.65	0	10.08	20.4	0	5.89	0	5.56	5.18	3.4	0	19.24	0	24.44	0	16.51	0	0	0	4.68	28.77	0	31.2	5.33	13.04	7.4	23.57	19.15	11.88	19.11	10.42	6.39	4.26	6.6	3.67	7.22	0	0.1	5.34	12.54	0	2.13	2.69	5.4	1	11.85	7.81	28.03	6.47	0	0	0	4.63	4.98	7.06	0	12.09	0
OSBP	0	0	0	0	9.83	0	0	0	0	0	0	37.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71	0	6.74	1.8	1.09	0	0	0	0	1.56	1.08	0	0	0	0	0	2.46	45.28	7.47	0	0.87	0	0	3.76	1.09	0	6.15	0	0	0	17.67	18.87	0	8.62	0	0	0	0	0	0	69.91	0	40.45	0	31.4	6.73	11.33	0	3.28	0	0	0	0	3.27	0	0	0	0	0	0	0	0	0	11.33	0	0	0	0	0	6.26	0	0	0	1.88	6.47	0	45.34	6.25	3.23	0	39	8.81	7.15	0.82	0	0	3.06	1.57	2.18
